description,category
Supply and erection of smoke exhaust fan jet fan 400 degree rated complete in all respects,HVAC
Installation and commissioning of deluge valve system 80mm for paint shop as per IS standards,Fire
Supplying and fixing waterproof membrane for basement with liquid membrane including labour and material,Civil
Providing and laying pressure pump 0.5HP for car wash as per specification,Plumbing
Supply and installation of motorized backdraft damper 800x400mm as per specification,HVAC
Supply and erection of solar panel 1KW rooftop for net metering as per approved make,Other
Installation of towel ring SS for guest toilet with all fittings,Plumbing
Installation and commissioning of single lever bath mixer matte black with all fittings,Plumbing
Providing and installing water meter 25mm multijet for apartment metering as per specification,Plumbing
Supplying and laying UPVC fixed window with tinted glass as per specification,Civil
Providing and installing MCB 20A single pole for lighting circuit with warranty,Electrical
Installation of LED flood light 50W for outdoor area with warranty,Electrical
Supply and fixing of fire exit signage LED with arrow as per IS standards,Fire
Installation of anodized aluminium door with panic bar as per IS standards,Civil
Supplying and fixing cable gland SS type for mineral insulated cable as per IS standards,Electrical
Supply and installation of servo stabilizer 20KVA for medical equipment as per IS standards,Electrical
Providing and fixing exterior elastomeric paint 3 coats for boundary wall as per drawing,Civil
Providing cement concrete 1:2:4 for sunshade with all fittings,Civil
Supplying and laying smoke detector conventional for hotel room as per IS standards,Fire
Providing and laying cable tray 450mm wide perforated with supports as per IS standards,Electrical
Supply and erection of roof insulation with EPS board 50mm thick as per drawing,Civil
Supply and erection of fire extinguisher ABC dry powder 2kg,Fire
Installation and commissioning of automatic swing door for hospital including testing and commissioning,Other
Providing and fixing fire alarm cable 2.5mm 4 core unshielded as per drawing,Fire
Supply and fixing of fire alarm cable 1mm 8 core unshielded including testing and commissioning,Fire
Installation and commissioning of kitchen faucet pull out with spray head including labour and material,Plumbing
Supply and erection of water softener magnetic for kitchen including all accessories,Plumbing
Rate for catch pit 450x450mm for surface drainage complete in all respects,PHE
Providing and installing formwork for RCC footings using timber shuttering as per IS standards,Civil
Supply and fixing of SS floor drain 250mm square including labour and material,PHE
Providing and fixing RCC drain 600x450mm with cover slab with all fittings,PHE
Rate for lightning arrester with ESE type and earth pit as directed by engineer,Electrical
Procurement and installation of condensate drain pipe 25mm HDPE with trap with warranty,HVAC
Providing and installing children WC ceramic with flush valve with warranty,Plumbing
Supply and erection of packaged STP 50KLD MBR including all accessories,PHE
Supplying and laying condenser water piping 50mm HDPE with painting with warranty,HVAC
Supplying and laying landscape irrigation drip for park as per drawing,Other
Supplying and fixing kota stone flooring 20mm thick for corridor,Civil
Providing and laying fire fighting pump house piping 200mm MS as per specification,Fire
Supplying and fixing water cooler with hot and cold for office including all accessories,Other
Supply and fixing of strainer valve 40mm T type for pump suction complete in all respects,Plumbing
Procurement and installation of junction box with spring connectors and cover,Electrical
Providing and fixing expansion vessel 100L for hot water system as per IS standards,HVAC
Supply and erection of differential pressure switch for filter monitoring complete in all respects,HVAC
Supply and installation of smoke detector conventional for server room including all accessories,Fire
Supply and erection of water softener manual for whole house as per specification,Plumbing
Supplying and fixing gypsum board partition 125mm with rockwool infill with warranty,Civil
Supplying and laying copper pipe 1 inch for medical gas as per drawing,Other
Supply and erection of roof insulation with XPS board 75mm thick as per IS standards,Civil
Rate for gate valve 15mm gun metal for pump isolation,Plumbing
Supply and erection of LED display board indoor for lobby as per drawing,Other
Installation of beam detector for fire alarm 30m range including labour and material,Fire
Providing and laying 3 phase DB with isolator 250A incomer including labour and material,Electrical
Supplying and fixing concealed stop cock 25mm with ceramic cartridge with all fittings,Plumbing
Supplying and laying condenser water piping 50mm GI with painting as directed by engineer,HVAC
Supplying deluge valve system 100mm for fuel storage as per IS standards,Fire
Supplying and laying copper pipe 3/8 inch for medical gas as per IS standards,Other
Providing and laying motorized screen 100 inch for home theater including testing and commissioning,Other
Supply and fixing of wall hung style WC with jet spray including labour and material,Plumbing
Supplying smoke exhaust fan axial 400 degree rated as per approved make,HVAC
Providing and laying soap dish holder SS wall mounted including all accessories,Plumbing
Procurement and installation of anti termite treatment for plinth area as directed by engineer,Civil
Supplying and fixing LED display board scrolling for conference room as per IS standards,Other
Providing and fixing pressurization fan for corridor 3000 CFM with all fittings,HVAC
Supply and fixing of fire resistant paint coating for duct as per approved make,Fire
Supplying and fixing GI conduit 25mm with inspection elbows including all accessories,Electrical
Providing and installing fire sprinkler concealed type for warehouse with all fittings,Fire
Supplying acoustic lining 50mm for sound attenuator as per specification,HVAC
Installation and commissioning of sump pump 1HP for basement drainage as per drawing,PHE
Providing and fixing ACP cladding 4mm for entrance canopy complete in all respects,Other
Rate for fire survival cable 2.5 sqmm 6 core including all accessories,Electrical
Installation and commissioning of turnstile tripod for metro station as per approved make,Other
Supplying and fixing vibration isolator rubber type for compressor as per specification,HVAC
Installation of primer coat and enamel paint for MS gate including labour and material,Civil
Providing and installing ductable split AC 4 ton with duct connection including testing and commissioning,HVAC
Supply and fixing of chlorination system sodium hypochlorite for STP outlet including labour and material,PHE
Supplying and fixing non return valve 50mm for storm water as per drawing,PHE
Installation of RCC raft foundation M35 grade with reinforcement,Civil
Supplying and fixing acrylic distemper 3 coats for staircase walls including labour and material,Civil
Providing and laying water softener automatic for bathroom complete in all respects,Plumbing
Rate for flexible conduit 32mm with glands as per drawing,Electrical
Supplying and fixing step light recessed with fluorescent lamp as per approved make,Electrical
Providing and fixing bath shower diverter with wall flange including testing and commissioning,Plumbing
Rate for bottle trap 32mm brass for kitchen sink,Plumbing
Supply and erection of RCC M20 concrete for grade beam as per drawing,Civil
Supply and erection of acoustic ceiling tiles 600x600mm with lay-in system with all fittings,Other
Supplying air curtain 1500mm for entrance door as per drawing,HVAC
Supplying and fixing refrigerant piping 1/4 inch with vacuum testing including labour and material,HVAC
Supply and erection of bath shower diverter with ceramic cartridge as directed by engineer,Plumbing
Providing water meter 40mm multijet for commercial metering as per approved make,Plumbing
Providing and installing beam detector for fire alarm 80m range with all fittings,Fire
Supply and fixing of fire hydrant hose 63mm 15m synthetic as directed by engineer,Fire
Installation of modular switch plate 8 module with grid plate complete in all respects,Electrical
Rate for UPVC casement window with tinted glass including testing and commissioning,Civil
Providing and installing kitchen sink single bowl SS with drain board as per IS standards,Plumbing
Providing RCC retaining wall M35 grade with reinforcement including testing and commissioning,Civil
Supply and installation of fire hydrant pillar valve 100mm as per specification,Fire
Providing and installing fire exit signage LED with arrow as per IS standards,Fire
Installation of car park ventilation induction fan for basement parking as per specification,Other
Supplying and fixing vent pipe 100mm CI as per specification,PHE
Installation and commissioning of 3 phase DB with ACB 250A incomer as directed by engineer,Electrical
Installation of fire rated cable 1.5mm for alarm circuit as per approved make,Fire
Supplying fire sprinkler sidewall type for corridor complete in all respects,Fire
Installation of water meter 15mm electromagnetic for bulk metering complete in all respects,Plumbing
Supply and installation of condensate drain pipe 32mm HDPE with trap as per specification,HVAC
Providing and installing towel ring chrome plated for kitchen wall,Plumbing
Providing passenger lift 13 person geared traction as directed by engineer,Other
Supply and erection of UPS power socket with dedicated circuit including labour and material,Electrical
Supplying lightning arrester mesh type for high rise building with warranty,Other
Providing and fixing canvas duct connector for misalignment correction as directed by engineer,HVAC
Providing and installing sump pump 5HP for basement drainage including testing and commissioning,PHE
Installation and commissioning of water softener electronic for supply line as directed by engineer,Plumbing
Supply and fixing of PVC pipe 110mm for AC drain including labour and material,Plumbing
Installation and commissioning of stone cladding 30mm for exterior facade complete in all respects,Civil
Supply and erection of drainage pipe 150mm CI for surface drainage including all accessories,PHE
Providing and fixing lightning arrester with copper strip and earth pit complete in all respects,Electrical
Rate for submersible pump 1HP for basement drainage as per drawing,Plumbing
Installation of condensate pump for indoor unit with warranty,HVAC
Providing and installing acrylic distemper 2 coats for staircase walls with warranty,Civil
Installation of butterfly valve 100mm for pump suction including all accessories,Plumbing
Providing spike guard 8 way with surge protection including testing and commissioning,Electrical
Supplying and fixing submersible sewage pump 3HP with cutter complete in all respects,PHE
Installation of disabled friendly WC ceramic with foot rest as directed by engineer,Plumbing
Installation of mirror light recessed with LED lamp as per specification,Electrical
Providing pressurization fan for lift lobby 8000 CFM including labour and material,HVAC
Supply and installation of fan coil unit 2 pipe floor mounted as per specification,HVAC
Providing and installing EV charging station 7.2KW DC fast including labour and material,Other
Supply and fixing of pressure reducing valve 25mm for floor distribution as per specification,Plumbing
Providing and installing fire blanket 1.8x1.8m for laboratory as directed by engineer,Fire
Supply and erection of thermostat digital programmable for FCU control as directed by engineer,HVAC
Supply and erection of fire door closer hydraulic for fire rated door with all fittings,Fire
Providing and laying fire extinguisher water 4kg with all fittings,Fire
Providing and installing RCC M25 concrete for ring beam as directed by engineer,Civil
Supplying concealed shower mixer with hand shower including testing and commissioning,Plumbing
Supply and fixing of soak pit 1.5m dia 3m deep with warranty,PHE
Providing and fixing power outlet 32A with PVC back box and earth complete in all respects,Electrical
Providing air curtain 1000mm for loading dock with all fittings,HVAC
Supply and installation of cement fibre board for partition wall with all fittings,Civil
Supplying and fixing fire alarm sounder voice alarm 105dB as directed by engineer,Fire
Supplying projector 5000 lumens with interactive as per drawing,Other
Supplying and laying UPVC casement window with tinted glass,Civil
Providing vibration isolator air spring type for cooling tower complete in all respects,HVAC
Providing and laying nurse call system wired for ICU with warranty,Other
Installation of fire door closer overhead for smoke door as per specification,Fire
Procurement and installation of check valve 15mm spring loaded for hot water line as per approved make,Plumbing
Supply and installation of PA public address system wall speaker for hospital with all fittings,Other
Supplying and fixing fire alarm sounder electromechanical 95dB as per drawing,Fire
Providing and fixing queue management system for bank complete in all respects,Other
Providing and installing network switch 16 port unmanaged including all accessories,Other
Supplying and fixing LED tube light 22W with prismatic cover including all accessories,Electrical
Rate for sprinkler head upright type 79C rating as per IS standards,Fire
Providing and laying RCC drain 300x300mm with grating complete in all respects,PHE
Procurement and installation of strainer valve 40mm Y type for cooling tower,Plumbing
Installation of data outlet RJ45 Cat6 with face plate,Electrical
Supply and installation of data outlet RJ45 Cat7 with patch cord with all fittings,Electrical
Installation of sand filter 750mm for STP tertiary treatment with all fittings,PHE
Supply and erection of PVC pipe 160mm for basin waste as per drawing,Plumbing
Supplying and fixing fire hose reel with 15m hose with warranty,Fire
Providing and installing air valve 80mm for pumping main with warranty,Plumbing
Installation of fire alarm hooter cum strobe addressable as per specification,Fire
Installation of bottle trap 40mm SS for kitchen sink,Plumbing
Supply and erection of thermal insulation 13mm nitrile rubber for refrigerant pipe,HVAC
Supply and erection of chlorination system chlorine gas for STP outlet as per drawing,PHE
Supply and fixing of pressure balance mixing valve for kitchen sink including all accessories,Plumbing
Supply and erection of 3 phase DB with MCCB 160A incomer with all fittings,Electrical
Procurement and installation of water level sensor for STP tank including labour and material,PHE
Supplying pillar cock quarter turn for utility area including testing and commissioning,Plumbing
Procurement and installation of telephone outlet RJ45 with face plate including all accessories,Electrical
Supplying and fixing water softener electronic for bathroom including testing and commissioning,Plumbing
Supplying refrigerant piping 1/2 inch with vacuum testing,HVAC
Procurement and installation of building management system for access control with all fittings,Other
Supply and installation of return air duct galvanized steel with grille and damper including testing and commissioning,HVAC
Supply and erection of waterproof membrane for terrace with cementitious coating as per IS standards,Civil
Providing marble flooring 30mm thick polished for temple,Civil
Supplying and laying chiller water cooled 150TR screw type including testing and commissioning,HVAC
Providing and installing fire rated cable 4mm for alarm circuit as per drawing,Fire
Providing and installing return air duct GI with grille and damper as directed by engineer,HVAC
Supply and installation of programmable timer switch for garden lighting as directed by engineer,Electrical
Supply and fixing of non return valve 100mm for sewage line as directed by engineer,PHE
Supplying ACP cladding 5mm for entrance canopy with warranty,Other
Procurement and installation of packaged STP 100KLD MBBR as per approved make,PHE
Supply and erection of projector 8000 lumens with laser complete in all respects,Other
Installation of two way bib cock 15mm for mop sink as per IS standards,Plumbing
Providing and laying aspirating smoke detection system for clean room as per specification,Fire
Supplying and laying UPS power socket with isolated circuit as directed by engineer,Electrical
Installation of fire alarm repeater panel for fire command center with all fittings,Fire
Supply and installation of acoustic ceiling tiles 600x1200mm with T-grid suspension complete in all respects,Other
Providing and laying RCC drain 600x450mm with removable cover,PHE
Installation of AHU 25TR horizontal with heating coil as per specification,HVAC
Installation of inspection chamber 900x900mm HDPE with warranty,PHE
Supply and erection of bar screen for collection tank mechanical as directed by engineer,PHE
Rate for check valve 25mm dual plate for solar system as directed by engineer,Plumbing
Providing and laying non return valve 50mm for sewage line as per drawing,PHE
Supply and installation of automatic folding door for lobby as per specification,Other
Providing and laying MCB 10A single pole in distribution board with all fittings,Electrical
Providing and fixing vent pipe 75mm PP as per approved make,PHE
Supplying and fixing PVC pipe 110mm for soil waste stack as per drawing,Plumbing
Supplying and laying expansion joint filler board 12mm for bridge deck as per drawing,Civil
Supplying and laying manual call point for fire alarm push button as directed by engineer,Fire
Providing dry cooler 100KW for economizer including all accessories,HVAC
Installation and commissioning of ceiling rose and batten holder for exhaust point including labour and material,Electrical
Providing and fixing sprinkler head upright type 68C rating as per drawing,Fire
Providing and laying fire stop sealant for duct penetration as directed by engineer,Fire
Providing and fixing cable termination and lugging for LT cable including labour and material,Electrical
Procurement and installation of isolator switch 32A 2 pole for DG set as per drawing,Electrical
Providing water meter 20mm multijet for bulk metering including labour and material,Plumbing
Providing aspirating smoke detection system for data center as per drawing,Fire
Providing condensate pump for ceiling cassette AC as per IS standards,HVAC
Installation and commissioning of water level sensor for overhead tank including labour and material,PHE
Installation and commissioning of gate valve 32mm gun metal for pump isolation as per approved make,Plumbing
Supply and installation of damp proof course with liquid applied membrane as per approved make,Civil
Installation of earth filling and compaction in 200mm layers with murum as per specification,Civil
Supplying and laying multi-function shower 150mm with hose as directed by engineer,Plumbing
Supply and installation of earth work excavation in ordinary soil for pile cap with all fittings,Civil
Providing and laying STP plant 10KLD activated sludge technology with all fittings,PHE
Providing and laying flexible duct connector 200mm for blower as directed by engineer,HVAC
Supplying and fixing DG set 250KVA acoustic enclosure with AMF panel as per IS standards,Other
Installation of cooling tower steel cross flow 30TR capacity as directed by engineer,HVAC
Providing and installing ceiling cassette AC unit 2 ton with wired controller with all fittings,HVAC
Procurement and installation of fire damper 400x300mm with electric actuator as per approved make,Fire
Installation and commissioning of drainage pipe 75mm RCC for waste water with warranty,PHE
Supplying fire rated cable 2.5mm for sounder circuit complete in all respects,Fire
Supplying BMS controller for HVAC monitoring including all accessories,HVAC
Installation and commissioning of LED flood light 300W for sports ground as directed by engineer,Electrical
Installation of kitchen hood exhaust GI with grease filter including testing and commissioning,Other
Supply and erection of check valve 50mm ball type for pump discharge as per specification,Plumbing
Providing and fixing fire damper 200x200mm with smoke detector,Fire
Supply and fixing of bathroom mirror with LED light as per approved make,Plumbing
Installation and commissioning of sound system 2.1 channel for banquet hall including labour and material,Other
Supplying motorized volume control damper 600x400mm including testing and commissioning,HVAC
Procurement and installation of fire hydrant hose 63mm 15m RRL as per IS standards,Fire
Supply and erection of UPVC tilt and turn window with mosquito mesh including labour and material,Civil
Supply and installation of signage board acrylic informational including labour and material,Other
Rate for water softener magnetic for supply line as per IS standards,Plumbing
Installation and commissioning of check valve 25mm spring loaded for pipeline complete in all respects,Plumbing
Providing dry type transformer 100KVA with protection relay as per IS standards,Electrical
Installation of refrigerant piping 1/4 inch with vacuum testing as per drawing,HVAC
Providing and laying thermostat touchscreen for zone control as per drawing,HVAC
Supply and erection of earth work excavation in ordinary soil for foundation as per specification,Civil
Supplying and fixing wooden door frame 1000x2100mm with solid core shutter with all fittings,Civil
Supply and installation of cable tray 300mm wide solid bottom with supports with all fittings,Electrical
Supplying and fixing modular switch plate 4 module with frame including testing and commissioning,Electrical
Installation of jockey pump 7.5HP for pressure maintenance as directed by engineer,Fire
Supplying RCCB 32A 2 pole for earth leakage protection as per specification,Electrical
Providing and fixing modular switch and socket 6A with PVC box as directed by engineer,Electrical
Supplying and laying nahani trap 75mm PVC including labour and material,PHE
Supplying water treatment system for cooling tower with warranty,HVAC
Providing and installing damp proof course with bitumen felt membrane as per specification,Civil
Providing and installing CPVC pipe 15mm for cold water supply including testing and commissioning,Plumbing
Procurement and installation of displacement diffuser for high ceiling,HVAC
Installation of telephone outlet RJ11 with face plate complete in all respects,Electrical
Rate for STP plant 50KLD SBR technology as per IS standards,PHE
Supplying and laying chilled water pump split case 5HP as per approved make,HVAC
Installation of single lever shower mixer brushed nickel including labour and material,Plumbing
Supply and erection of spike guard 4 way with surge protection as per IS standards,Electrical
Supplying and laying earth work excavation in ordinary soil for foundation with all fittings,Civil
Providing and installing ductable split AC 3 ton with fresh air intake as per specification,HVAC
Providing and fixing GI duct 22 gauge for exhaust air as directed by engineer,HVAC
Supply and erection of CCTV camera PTZ with analytics as directed by engineer,Other
Providing and laying automatic gate bollard for main gate with warranty,Other
Providing and fixing battery operated emergency light with twin head as per approved make,Electrical
Installation of electronic dimmer switch for CFL lights as per specification,Electrical
Installation and commissioning of condensate drain pipe 25mm CPVC with trap including labour and material,HVAC
Supply and erection of motorized volume control damper 400x300mm including testing and commissioning,HVAC
Supplying and laying condenser water piping 150mm HDPE with painting complete in all respects,HVAC
Supply and erection of air curtain 900mm for entrance door as per approved make,HVAC
Supplying storage water heater 50L with anode rod including labour and material,Plumbing
Supplying and fixing flexible duct connector 600mm for blower including testing and commissioning,HVAC
Supply and installation of package AC unit 5TR floor standing with duct connection including testing and commissioning,HVAC
Supplying and fixing lightning arrester Franklin rod for factory complete in all respects,Other
Supply and erection of angle valve 15mm brass for water heater with all fittings,Plumbing
Supply and installation of sump pump 5HP for basement drainage,PHE
Procurement and installation of formwork for RCC footings using plywood shuttering complete in all respects,Civil
Providing landscape irrigation micro spray for landscape as per specification,Other
Supplying and fixing fire stop sealant for pipe penetration as per IS standards,Fire
Providing and fixing FR PVC insulated wire 4 sqmm in raceway as per IS standards,Electrical
Procurement and installation of occupancy sensor switch for toilet lighting including testing and commissioning,Electrical
Installation of fire alarm integration with elevator as directed by engineer,Other
Providing and installing fire rated glass partition 2 hour for lobby as per approved make,Fire
Installation of queue management system for government office with warranty,Other
Installation of fire brigade inlet connection 80mm with cap and chain including testing and commissioning,Fire
Installation of network switch 16 port layer 3 with all fittings,Other
Supply and installation of fire resistant paint coating for wooden surface as per approved make,Fire
Supplying and fixing condensate drain pipe 20mm PP with trap with all fittings,HVAC
Installation and commissioning of pipe support spring hanger type for condenser water as per drawing,HVAC
Rate for solar water heater 100LPD heat pump as per IS standards,Other
Supply and erection of overhead rain shower 250mm with holder as per IS standards,Plumbing
Supplying and laying acoustic lining 50mm for sound attenuator including labour and material,HVAC
Providing and installing PVC pipe 110mm for AC drain as per approved make,Plumbing
Installation and commissioning of underground drainage pipe 300mm DWC as per specification,PHE
Supply and erection of pillar cock swan neck for wash basin with all fittings,Plumbing
Providing linear heat detection cable for warehouse rack as per specification,Fire
Providing and fixing primer coat and enamel paint for MS grille as directed by engineer,Civil
Providing oil and grease separator 2000L for service station including testing and commissioning,PHE
Supplying fire alarm multi-sensor detector ceiling mounted as per IS standards,Fire
Rate for STP plant 50KLD extended aeration technology including all accessories,PHE
Supply and erection of water level sensor for collection tank as per specification,PHE
Providing and fixing PVC pipe 75mm for vent stack as directed by engineer,Plumbing
Supply and installation of fire rated cable 2.5mm for sounder circuit with all fittings,Fire
Supply and installation of water cooler with RO system for hospital complete in all respects,Other
Supplying and fixing overhead water tank in RCC M20 grade 15000L capacity as per IS standards,Civil
Providing and installing air release valve 25mm for pumping main as directed by engineer,PHE
Installation and commissioning of passenger lift 20 person geared traction as per specification,Other
Providing and installing primer coat and enamel paint for MS railing with warranty,Civil
Procurement and installation of pipe support spring hanger type for condenser water complete in all respects,HVAC
Providing vent pipe 75mm HDPE with all fittings,PHE
Procurement and installation of gym equipment flooring interlocking for fitness center with warranty,Other
Supplying and fixing catch pit 600x600mm for road drainage as directed by engineer,PHE
Procurement and installation of plastering 12mm thick cement sand mortar for ceiling,Civil
Providing and laying vibration isolator rubber type for pump including all accessories,HVAC
Providing battery bank 65AH gel for emergency lighting including testing and commissioning,Other
Providing and fixing sludge pump 5HP progressive cavity with warranty,PHE
Installation of wooden door frame 1200x2100mm with solid core shutter as directed by engineer,Civil
Supply and fixing of LED display board indoor for conference room as per drawing,Other
Installation and commissioning of towel rail 450mm chrome plated for bathroom including testing and commissioning,Plumbing
Supplying fire stop sealant for duct penetration with warranty,Fire
Supplying and fixing anodized aluminium door with door closer,Civil
Installation of AAC block 200mm for boundary wall complete in all respects,Civil
Providing interlocking paver block 80mm thick for driveway as directed by engineer,Civil
Supply and erection of circuit breaker 63A DP for motor with all fittings,Electrical
Supplying passenger lift 20 person hydraulic including labour and material,Other
Supply and erection of kitchen sink single bowl SS with waste coupling with all fittings,Plumbing
Supplying floor trap 100mm with CP grating with warranty,Plumbing
Supplying and laying underground drainage pipe 300mm PVC including testing and commissioning,PHE
Supplying and laying gravel filter bed for STP tertiary,PHE
Supplying PCC 1:4:8 plain cement concrete 150mm thick for levelling course with warranty,Civil
Installation and commissioning of video door phone wireless for hospital as per specification,Other
Providing and laying cable tray 300mm wide ladder with supports including testing and commissioning,Electrical
Supply and fixing of solar panel 3KW carport for net metering with warranty,Other
Providing electronic mixing valve for wash basin as per drawing,Plumbing
Supplying and laying floor trap 150mm with SS jali grating complete in all respects,Plumbing
Providing and installing return air duct aluminium with acoustic lining including testing and commissioning,HVAC
Installation of LED batten light 24W recessed mounted as per specification,Electrical
Supplying and laying towel rail 750mm SS for kitchen as directed by engineer,Plumbing
Supply and erection of aeration system surface aerator for lagoon with all fittings,PHE
Providing fire alarm control panel 16 zone intelligent with warranty,Fire
Supplying and laying refrigerant leak detector for split AC system including labour and material,HVAC
Supplying and fixing jockey pump 5HP for sprinkler system including labour and material,Fire
Installation of concealed stop cock 15mm with wall flange complete in all respects,Plumbing
Rate for fire damper 400x300mm with smoke detector with warranty,Fire
Supply and erection of sludge pump 5HP centrifugal with all fittings,PHE
Providing and fixing pre-insulated duct panel 20mm phenolic board as directed by engineer,HVAC
Rate for 3 pin power socket 6A weatherproof,Electrical
Providing cable gland nylon type for mineral insulated cable including all accessories,Electrical
Supply and erection of swimming pool chlorination system with pump including all accessories,Other
Supply and fixing of thermostatic mixing valve for kitchen sink including labour and material,Plumbing
Providing spike guard 4 way with surge protection complete in all respects,Electrical
Providing street light pole 5m with high mast fitting complete in all respects,Electrical
Providing and fixing overhead water tank in RCC M25 grade 10000L capacity complete in all respects,Civil
Providing server rack 6U wall mounted with fan as directed by engineer,Other
Supplying and fixing rainwater harvesting storage tank for garden irrigation with all fittings,PHE
Rate for 3 phase DB with isolator 100A incomer as per IS standards,Electrical
Supply and installation of backflow preventer 80mm for cross connection as per specification,PHE
Supply and erection of wall bracket light wall mounted with halogen lamp as per specification,Electrical
Procurement and installation of fire hydrant underground valve 80mm,Fire
Supplying and fixing fire pump suction pipe 150mm with strainer as per specification,Fire
Providing modular switch plate 12 module with mounting plate as per approved make,Electrical
Supply and installation of submersible pump 3HP for open well,Plumbing
Supplying and fixing circuit breaker 40A DP for motor with all fittings,Electrical
Installation and commissioning of earthing system with copper electrode 3m long as per approved make,Electrical
Supply and installation of copper pipe 1 inch for compressed air complete in all respects,Other
Installation of RCC raft foundation M35 grade with reinforcement including labour and material,Civil
Installation of deluge valve system 100mm for transformer yard including testing and commissioning,Fire
Procurement and installation of cable termination and crimping for armoured cable including all accessories,Electrical
Supply and erection of acoustic lining 25mm for plenum box as per drawing,HVAC
Supply and erection of toughened glass partition 15mm for reception as per drawing,Civil
Rate for fire pump split case 75HP with test header as per drawing,Fire
Procurement and installation of video door phone IP based for apartment entrance including all accessories,Other
Supply and erection of sewage pump 2HP grinder for basement drainage as per drawing,PHE
Installation and commissioning of PPR pipe 50mm for hot water supply as per specification,Plumbing
Procurement and installation of ductable split AC 3 ton with filter complete in all respects,HVAC
Installation and commissioning of cable gland SS type for mineral insulated cable as per specification,Electrical
Rate for sewer line 250mm dia PVC including testing and commissioning,PHE
Supply and erection of fire rated cable 1.5mm for sounder circuit including all accessories,Fire
Supply and erection of fire sprinkler concealed type for office area as directed by engineer,Fire
Supplying and fixing sump pump 0.5HP for basement drainage as per IS standards,PHE
Installation and commissioning of data outlet RJ45 Cat6 with face plate complete in all respects,Electrical
Supply and installation of chilled water pump vertical inline 7.5HP as per approved make,HVAC
Supply and installation of RCCB 25A 2 pole for earth leakage protection with warranty,Electrical
Installation and commissioning of fire hydrant landing valve 63mm as per IS standards,Fire
Supplying and laying aeration system surface aerator for STP aeration tank with warranty,PHE
Supply and erection of bottle trap 32mm PVC for bidet,Plumbing
Supplying fabric diffuser for mall as per IS standards,HVAC
Providing and fixing cement concrete 1:2:4 for sunshade as directed by engineer,Civil
Supplying drainage pipe 110mm DWC for waste water with all fittings,PHE
Installation of wooden door frame 900x2100mm with panelled shutter including all accessories,Civil
Supplying 3 phase DB with ACB 160A incomer with warranty,Electrical
Supplying and laying MCB 25A single pole for geyser circuit as per drawing,Electrical
Providing and fixing vent pipe 100mm PP as per specification,PHE
Rate for IBMS integration for fire and security as per IS standards,Other
Installation of wall putty 3 coats and luster paint for columns as per drawing,Civil
Supply and installation of ACP cladding 6mm for entrance canopy including labour and material,Other
Installation and commissioning of backflow preventer 80mm for drainage with all fittings,PHE
Providing and installing waterproof membrane for swimming pool with SBS membrane including all accessories,Civil
Installation of weatherproof switch socket IP65 rated with all fittings,Electrical
Providing and fixing RCC M25 concrete for grade beam as per IS standards,Civil
Supply and erection of video door phone black and white for hospital as per approved make,Other
Installation and commissioning of projector 5000 lumens with ceiling mount as per specification,Other
Procurement and installation of cable termination and jointing for power cable,Electrical
Providing and fixing rainwater harvesting first flush diverter for groundwater recharge including testing and commissioning,PHE
Supplying and fixing earth filling and compaction in 300mm layers with gravel including all accessories,Civil
Supply and erection of pre-laminated particle board TV unit with fittings as per approved make,Civil
Supply and fixing of sand filter 600mm for swimming pool including testing and commissioning,PHE
Supplying and laying MS railing for balcony with polished finish complete in all respects,Civil
Providing and installing aeration system jet aerator for equalization tank including testing and commissioning,PHE
Supplying and laying EV charging station 11KW CHAdeMO including testing and commissioning,Other
Providing submersible water supply pump 1HP as directed by engineer,Plumbing
Rate for PVC gully trap 100mm for utility area as per IS standards,PHE
Rate for VRF outdoor unit 18HP with drain piping as per approved make,HVAC
Supplying and fixing water level sensor for STP tank as per approved make,PHE
Installation of fire sprinkler flow switch 100mm for alarm activation including all accessories,Fire
Installation of LED batten light 40W wall mounted including labour and material,Electrical
Providing marble flooring 18mm thick polished for lobby including labour and material,Civil
Providing and laying sewage collection tank 5000L RCC with warranty,PHE
Providing and laying heat pump water heater 4.5KW with safety valve as directed by engineer,Plumbing
Rate for gym equipment flooring rubber for fitness center as directed by engineer,Other
Supplying and laying steel reinforcement Fe415 for columns with all fittings,Civil
Installation of perforated pipe 100mm for soakaway with warranty,PHE
Supplying damp proof course with polyethylene sheet membrane complete in all respects,Civil
Providing concrete block 150mm solid for boundary wall as per IS standards,Civil
Providing RCC raft foundation M35 grade with reinforcement including all accessories,Civil
Rate for passenger lift 8 person MRL complete in all respects,Other
Providing and laying GI conduit 20mm with bends and couplers,Electrical
Supply and erection of STP control panel relay based with remote monitoring with warranty,Other
Supply and installation of electrical wiring with flexible conduit 50mm concealed in wall with warranty,Electrical
Providing and installing compound wall in concrete block masonry with plastering with warranty,Civil
Supplying and fixing three way motorized valve for heat exchanger,HVAC
Supply and erection of access control system fingerprint for main entrance as per specification,Other
Providing and installing anti termite treatment for basement including all accessories,Civil
Supply and erection of LED panel light 12W wall mounted with all fittings,Electrical
Providing and laying MS railing for staircase with powder coated finish including all accessories,Civil
Supplying solar water heater 1000LPD ETC as per approved make,Other
Supplying and fixing distribution board 16 way DP with MCB and RCCB as directed by engineer,Electrical
Supply and fixing of epoxy flooring 1mm thick for warehouse complete in all respects,Civil
Supply and erection of access control system biometric for server room including labour and material,Other
Providing and installing fire exit signage photoluminescent running man as per drawing,Fire
